#He so k la
3.0
#Number of Nodes
23
# list of nodes
#x #y #z
43.678 12.393 0.0
44.614 31.172 0.0
37.030 34.354 0.0
16.300 22.156 0.0
44.684 20.914 0.0
4.911 19.398 0.0
4.274 44.108 0.0
15.855 29.783 0.0
35.487 44.453 0.0
34.956 21.701 0.0
45.388 44.151 0.0
5.998 6.157 0.0
15.791 37.525 0.0
25.825 43.602 0.0
28.328 4.885 0.0
5.629 31.941 0.0
26.918 30.842 0.0
17.928 4.396 0.0
35.933 6.803 0.0
26.078 16.392 0.0
14.266 45.817 0.0
16.665 12.389 0.0
45.041 3.672 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
1 2 3746
1 3 1013
1 4 1901
1 5 564
1 6 3797
1 7 3517
1 8 2473
1 9 1586
1 10 1657
1 11 1423
1 12 4627
1 13 1188
1 14 373
1 15 1262
1 16 2549
1 17 2238
1 18 2002
1 19 1743
1 20 1581
1 22 2118
1 23 610
2 1 4153
2 3 931
2 4 1600
2 5 2419
2 6 4005
2 7 1202
2 8 1397
2 9 2004
2 10 5488
2 11 5043
2 12 3767
2 13 5343
2 14 1618
2 15 4224
2 16 4731
2 17 2492
2 18 1887
2 19 2177
2 20 2297
2 21 1999
2 22 3314
2 23 1891
3 1 2080
3 2 4705
3 4 1119
3 5 1789
3 6 3440
3 7 2281
3 8 2587
3 9 2501
3 10 317
3 11 1689
3 12 2834
3 13 1987
3 14 2996
3 15 2204
3 16 2154
3 17 3610
3 18 2590
3 19 4423
3 20 1498
3 21 2750
3 22 62
3 23 4271
4 1 2608
4 2 1109
4 3 2425
4 5 1234
4 6 2280
4 7 401
4 8 1134
4 9 1503
4 10 914
4 11 1910
4 12 253
4 13 1269
4 14 751
4 15 1437
4 16 2869
4 17 4014
4 18 3627
4 19 2003
4 20 1861
4 22 3180
4 23 484
5 1 1844
5 3 1288
5 6 1370
5 7 470
5 8 1599
5 9 3539
5 10 875
5 11 1741
5 12 3629
5 13 1217
5 14 1315
5 15 2503
5 16 4000
5 17 2531
5 18 698
5 19 2616
5 20 2644
5 21 2188
5 22 2621
5 23 1643
6 1 941
6 2 2241
6 3 1619
6 4 2551
6 5 2969
6 7 1222
6 8 2475
6 9 582
6 10 3227
6 11 3790
6 12 1380
6 13 2951
6 14 1829
6 15 3414
6 16 2115
6 17 2525
6 18 1061
6 19 1179
6 20 4367
6 21 3480
6 22 1630
6 23 3314
7 1 2038
7 2 2600
7 3 2740
7 4 1866
7 5 2364
7 6 2987
7 8 2000
7 9 2231
7 10 869
7 11 1511
7 12 3208
7 13 951
7 14 2575
7 15 1916
7 16 964
7 17 80
7 18 683
7 19 2095
