#He so k la
3.0
#Number of Nodes
24
# list of nodes
#x #y #z
45.712 30.868 0.0
37.852 23.963 0.0
14.751 15.311 0.0
27.982 21.043 0.0
35.094 44.837 0.0
5.172 45.310 0.0
4.987 5.452 0.0
44.418 6.139 0.0
14.587 45.632 0.0
4.406 16.355 0.0
24.596 44.172 0.0
18.549 25.034 0.0
23.855 3.994 0.0
5.065 35.572 0.0
45.141 43.960 0.0
24.809 12.019 0.0
6.864 25.993 0.0
36.481 36.188 0.0
14.887 5.282 0.0
15.659 35.025 0.0
34.355 4.259 0.0
45.950 17.574 0.0
34.775 13.153 0.0
27.624 31.150 0.0
#nguong BER
0.001
#Ma tran yeu cau D
#source_index dest_index bw don vi Mbps
1 2 4390
1 3 1077
1 4 3672
1 5 2330
1 6 4892
1 7 1821
1 8 3229
1 9 769
1 10 1735
1 11 3678
1 12 388
1 13 489
1 14 2923
1 15 1320
1 16 2120
1 17 825
1 18 2283
1 19 3222
1 20 2819
1 21 2833
1 22 2920
1 23 1736
1 24 8391
2 1 3450
2 3 2323
2 4 2910
2 5 2434
2 6 1548
2 7 666
2 8 4304
2 9 1588
2 10 2152
2 11 2398
2 13 949
2 14 2816
2 15 884
2 16 1596
2 17 2697
2 18 1369
2 19 776
2 20 4373
2 21 1136
2 22 825
2 23 2389
2 24 2957
3 1 3038
3 2 1033
3 4 365
3 5 2562
3 6 2365
3 7 2059
3 8 2824
3 9 3230
3 10 1504
3 11 1242
3 12 1222
3 13 2279
3 14 4662
3 15 1798
3 16 1727
3 17 1523
3 18 1182
3 19 1921
3 20 2415
3 21 2899
3 22 3844
3 23 2602
3 24 3291
4 1 2750
4 2 934
4 5 235
4 6 1700
4 7 2163
4 8 624
4 9 1868
4 10 1318
4 11 2181
4 12 2164
4 13 1776
4 14 892
4 15 3818
4 16 896
4 17 1912
4 18 737
4 19 2420
4 20 2922
4 21 701
4 22 150
4 23 3444
4 24 1551
5 1 1653
5 2 2494
5 3 3442
5 6 1719
5 7 2059
5 8 2193
5 9 2256
5 10 1850
5 11 1328
5 12 347
5 13 1848
5 14 5488
5 15 2320
5 16 881
5 17 4023
5 18 4284
5 19 2301
5 20 3517
5 21 610
5 22 1445
5 23 2211
5 24 4912
6 1 2912
6 2 2927
6 3 2386
6 4 590
6 5 1836
6 7 353
6 8 810
6 9 2310
6 10 1297
6 11 2747
6 12 655
6 13 1441
6 14 1490
6 15 1285
6 16 2546
6 17 1977
6 18 942
6 19 1061
6 20 860
6 21 2583
6 22 1859
6 23 4165
6 24 2206
7 1 5048
7 2 2062
7 3 1149
7 4 2231
7 5 941
7 6 693
7 8 5999
7 9 1254
7 10 1929
7 11 1527
7 12 961
7 13 939
7 14 519
7 15 1668
7 16 2469
7 17 1799
7 18 925
7 19 1280
7 20 1111
7 21 1157
7 22 1012
7 23 1927
7 24 2340
8 1 948
8 2 3613
8 3 980
8 4 2122
8 5 4488
8 6 1122
8 7 2620
8 10 4791
8 11 4354
8 13 1379
8 14 1576
8 15 3507
8 16 1506
8 17 2883
8 18 2421
8 19 2182
8 20 6217
8 21 1336
8 22 1822
8 23 1262
8 24 2923
9 1 551
9 2 2542
9 3 3456
9 4 118
9 5 1435
9 6 1133
9 7 2188
9 8 2853
9 10 1208
9 11 1465
9 12 1289
9 13 2668
9 14 690
9 15 1041
9 16 598
9 17 1286
9 18 1775
9 19 416
9 20 4626
9 21 1927
9 22 2642
9 23 2268
9 24 1912
10 1 2288
10 2 2305
10 4 1254
10 5 1537
10 6 1009
10 7 1166
10 8 3765
10 9 3848
10 11 1067
10 12 994
10 13 2428
10 14 429
10 15 1706
10 16 4074
10 17 1898
10 18 1687
10 19 2040
10 20 2328
10 21 3660
10 22 2461
10 23 1803
10 24 4166
11 1 3570
11 2 1888
11 3 4000
11 4 672
11 5 2066
11 7 963
11 8 896
11 9 2666
11 10 4319
11 12 2710
11 13 598
11 14 3432
11 15 1409
11 17 3036
11 18 2335
11 19 2971
11 20 2163
11 21 2508
11 22 2866
11 23 846
11 24 2437
12 1 2388
12 2 2459
12 3 946
12 4 1973
12 5 3654
12 6 1678
12 7 3620
12 8 599
12 9 1187
12 10 1492
12 11 1593
12 13 1347
12 14 861
12 15 2302
12 16 1276
12 17 1444
12 19 2087
12 20 389
12 21 571
12 22 1195
12 23 1960
12 24 3353
13 1 2133
13 2 2071
13 3 766
13 4 2407
13 5 1843
13 6 1209
13 7 1450
13 8 2435
13 9 2875
13 10 2073
13 11 2458
13 12 803
13 14 1012
13 15 709
13 16 1071
13 17 1549
13 18 2946
13 19 32
13 20 3042
13 21 3381
13 22 3419
13 23 698
13 24 1598
14 1 748
14 2 2462
14 3 1586
14 4 859
14 5 2234
14 6 704
14 8 1373
14 9 3657
14 10 2880
14 11 802
14 12 1702
14 13 822
14 15 2454
14 16 1015
14 17 3451
14 18 1767
14 19 295
14 20 1317
14 21 2745
14 22 3182
14 23 796
14 24 4269
15 1 2805
15 2 1505
15 3 3098
15 4 2108
15 5 2560
15 6 1092
15 7 623
15 8 1888
15 9 2440
15 10 4514
15 13 1807
15 14 2422
15 16 3575
15 17 1932
15 18 2211
15 19 2633
15 20 363
15 21 2543
15 22 1360
15 23 2553
15 24 384
16 1 1788
16 2 5017
16 3 3095
16 4 15
16 5 17
16 6 1240
16 7 2751
16 8 747
16 9 1017
16 10 892
16 11 3871
16 12 3312
16 13 2098
16 14 1282
16 15 1183
16 17 3186
16 18 2332
16 19 2117
16 20 3603
16 21 1424
16 22 3226
16 23 1508
16 24 535
17 1 1794
17 2 5937
17 3 4239
17 4 2387
17 5 1802
17 6 9
17 7 1620
17 8 5815
17 9 2030
17 10 2001
17 11 3663
17 12 729
17 13 137
17 14 2015
17 15 1282
17 16 1029
17 18 1679
17 19 2618
17 20 358
17 21 3386
17 22 2044
17 23 1112
17 24 1238
18 1 2997
18 2 2115
18 3 830
18 4 1549
18 5 3881
18 6 1860
18 7 2740
18 8 3843
